order,xcoord,line,maskgood,wv_fit,Fpeak,line_wave_init_gf,line_x_init,line_a_gf,line_base,line_c_gf,line_x_gf
2,704.3746788591652,4545.0519,1.0,4545.116020290945,1449.228445456435,4545.1218484857545,704.5235688040494,3868.6079888841446,95.3,-1.0171746147641252,704.3728568177343
2,736.1285451864536,4530.5523,1.0,4530.468572744241,160.14456288051554,4530.501581073217,735.8957565069176,97.05957762989627,92.3,-0.5081811313959625,736.0059436314384
2,778.0154548119099,4510.7332,1.0,4511.32361556649,3548.4419355280515,4511.287990389412,779.2022681114712,8964.059858959621,66.4,0.9735192973342216,777.9832927664272
2,796.2255204628019,4502.9268,1.0,4503.062179211609,158.93619884299522,4503.0008766567935,796.3950411968214,301.08710717138115,78.2,-1.3695538724082827,796.2315277928287
2,805.9005815376349,4498.5384,1.0,4498.687894806288,138.3029103701144,4498.636590721962,806.0936148577671,175.5727188893071,74.8775465067453,-0.9776301619937098,805.8763463890583
2,823.1615440273887,4490.9816,1.0,4490.909612611755,169.41000960898555,4490.8666573687815,822.8513393932353,363.9833303747328,78.77908670637581,1.5941676571391,823.1067840089132
2,843.079934046892,4481.8107,1.0,4481.974517136783,1563.4317625575943,4481.890754258739,843.285170840027,4071.74065544746,100.54139426871707,-1.0380187556051548,843.1063272816867
2,858.8530168839306,4474.7594,1.0,4474.92964106249,897.3626727289127,4474.836738904098,859.0685672494199,2102.5767714875515,106.91519025904452,-0.9755683844487663,858.8951164433681
2,938.5803850100973,4439.4614,1.0,4439.728791305559,407.0927703627774,4439.652704202921,939.0294924572135,961.49965187268,90.25017603191397,1.082545680858942,938.5918572119226
2,951.6643639199883,4433.838,1.0,4434.016249428442,607.2238504190351,4433.938210156041,951.9156478052886,1279.9065006881112,125.4467315195578,-0.9277681925012656,951.6856740214894
2,959.8082026245329,4430.189,1.0,4430.469634111581,1829.1130098122844,4430.392540453174,960.2992614166201,5526.875089513077,149.22757826064458,1.2274716123801077,959.8311644140572
2,969.4264086343146,4426.0011,1.0,4426.289831419013,3587.448014950195,4426.196326120488,969.9421936295537,11251.348665764384,220.07882979655707,1.2489502078093309,969.4921899240894
2,994.7824393752297,4415.1222,1.0,4415.316767059923,578.5231456544013,4415.265330771156,995.0980766015992,1354.8770746890123,80.26883209812617,-0.9715899824173174,994.7661179389153
2,1018.9379781894185,4404.7499,1.0,4404.924826602909,1786.4811213692099,4404.870222213679,1019.2263735608893,4606.319426619412,96.05227110045104,-1.0136121435214904,1018.9456535279306
2,1028.1303588556332,4400.9863,1.0,4400.985876185482,1943.2448811333616,4400.954982306804,1028.016241146979,6400.085307338917,110.55744539047942,-1.3130613791895056,1028.0894697572232
2,1143.3703314122336,4352.2049,1.0,4352.330691201022,812.4853122903291,4352.329351684219,1143.6554338086244,2186.269628788903,113.6941976812525,-1.1336127843515935,1143.3563096075259
2,1153.3048010482012,4348.064,1.0,4348.198601572045,7244.295076546936,4348.194428736729,1153.6204421699308,20502.18938851834,115.4462052659325,-1.0212792369878434,1153.3062033175638
2,1250.7570540950169,4307.9015,1.0,4308.183642274583,2031.4728026580262,4308.2672586784,1251.521100986035,7898.105069799217,212.45364335154267,1.741095017755262,1250.6190930196797
2,1270.5280004164229,4300.1008,1.0,4300.17998807627,2091.668600003864,4300.224468276465,1270.8052909996334,6322.528549935603,152.39088392097665,1.1910537286662417,1270.4988814080134
2,1285.6685933282624,4294.1243,1.0,4294.076860853905,282.07916241875824,4294.154572025893,1285.6406999510307,471.74114868354263,92.31922428092194,0.8356974612098012,1285.56542394005
2,1326.9981217328168,4277.5282,1.0,4277.532199396388,9981.996683234665,4277.574444779995,1327.1184839839334,27780.044793518588,108.63523772289733,-1.0671930003043029,1327.0023115430065
2,1340.9994930278253,4271.7593,1.0,4271.965550836297,3818.991204301006,4272.018935333559,1341.6350121609548,11373.26571187855,149.7446989183892,1.2201461613424907,1340.9805473172714
2,1372.7775093040377,4259.3619,1.0,4259.4032514647915,3072.8030188744633,4259.4331212762545,1373.0069819160187,9458.442671889736,179.58816437044345,1.2230741648044892,1372.8260771110336
2,1429.8553558299209,4237.2198,1.0,4237.091359552125,1004.095331003467,4237.168048269833,1429.6526148327728,2799.380013199888,126.31563218722977,-1.207580684436673,1429.7859490043775
2,1467.7326457076913,4222.6373,1.0,4222.46465672264,345.8944824845579,4222.525538219369,1467.4050399644204,690.257434530572,85.8,-0.9629919589855217,1467.6957844399353
2,1484.0212855455145,4216.1828,1.0,4216.2189957457995,656.626661675133,4216.224699746955,1484.2321911894423,1290.9756329181992,166.0,-1.0073593077845473,1484.1227114776875
